arm,n,race_level,or,ci_lo,ci_hi,p
S048v2_A_post2017,2710,Black,0.4175729409298659,0.3420057569197245,0.5098369178555807,1.0000856216266293e-17
S048v2_A_post2017,2710,Asian,1.243512456312409,0.8341196650076763,1.8538385963959856,0.2847502444200827
S048v2_B_single_nodule,305,Black,0.7694976097959522,0.4051514902486506,1.4614942453211317,0.4233827473775655
S048v2_B_single_nodule,305,Asian,2.451781816306518,0.9221952360232232,6.518396365495766,0.0722391415389633
S048v2_C_genetics_tested,655,Black,0.6891957634456672,,,
S048v2_C_genetics_tested,655,Asian,0.4527918985237382,,,
S048v2_D_no_CLT,3121,Black,0.430423421067316,0.3569882854949246,0.5189647081736692,1.025702295761868e-18
S048v2_D_no_CLT,3121,Asian,1.1968348439535206,0.8249461250641971,1.7363723523033434,0.3439513727582587
S048v3_F_TR4_only,455,Black,0.6273161839110217,0.3860136620863107,1.019460276275653,0.0598129438377932
S048v3_F_TR4_only,455,Asian,4.0744280349485535,1.4673035019590317,11.313926389332806,0.0070221963087519
S048v3_G_had_fna,2258,Black,0.5859317087468501,0.4670554030370555,0.7350647590897591,3.829823662105881e-06
S048v3_G_had_fna,2258,Asian,0.9019290417741214,0.5549081262723221,1.4659651893372525,0.6770465013232245
S048v3_E_no_Bethesda_VI,2599,Black,0.4169114538962409,0.34145235396103674,0.5090466015932388,8.846941099725827e-18
S048v3_E_no_Bethesda_VI,2599,Asian,1.2704863772291208,0.8492661006728844,1.9006241193965892,0.24404576735568206
